date,EFA,Cleared Volume,EU Gas,gen_EFA,demand_EFA,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,month_sin,month_cos,EFA_sin,EFA_cos,DW_sin,DW_cos,Average Temperature,price
2022-04-10 23:00:00,1,638,324.3,22386.125,22381.39583333333,4.729166666667879,0,1,0.8978045395707416,-0.4403941515576344,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.0,1.0,6.333333333333333,3.0
2022-04-11 03:00:00,2,658,324.3,25710.75,25552.791666666668,157.95833333333212,0,1,0.7907757369376989,-0.6121059825476625,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,0.0,1.0,5.0,3.77
2022-04-11 07:00:00,3,769,324.3,29664.75,29750.02083333333,-85.27083333333212,0,1,0.7907757369376989,-0.6121059825476625,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.0,1.0,6.25,59.79
2022-04-11 11:00:00,4,816,324.3,27285.25,27260.916666666668,24.33333333333212,0,1,0.7907757369376989,-0.6121059825476625,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0.0,1.0,11.0,47.98
2022-04-11 15:00:00,5,625,324.3,31799.375,31738.77083333333,60.60416666666788,0,1,0.7907757369376989,-0.6121059825476625,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,0.0,1.0,12.0,80.98
2022-04-11 19:00:00,6,694,324.3,29366.625,29480.0625,-113.4375,0,1,0.7907757369376989,-0.6121059825476625,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,0.0,1.0,9.0,25.05
2022-04-11 23:00:00,1,759,328.6,23269.125,23290.625,-21.5,1,1,0.7907757369376989,-0.6121059825476625,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,6.0,1.5
2022-04-12 03:00:00,2,752,328.6,26285.5,26140.916666666668,144.58333333333212,1,1,0.6513724827222223,-0.758758122692791,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,6.0,3.33
2022-04-12 07:00:00,3,485,328.6,33693.875,33686.4375,7.4375,1,1,0.6513724827222223,-0.758758122692791,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.7818314824680297,0.6234898018587336,6.5,1.07
2022-04-12 11:00:00,4,570,328.6,32738.375,32732.20833333333,6.166666666667879,1,1,0.6513724827222223,-0.758758122692791,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0.7818314824680297,0.6234898018587336,7.5,0.92
2022-04-12 15:00:00,5,487,328.6,35433.75,35386.104166666664,47.64583333333576,1,1,0.6513724827222223,-0.758758122692791,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,0.7818314824680297,0.6234898018587336,10.0,4.51
2022-04-12 19:00:00,6,495,328.6,31737.75,31844.9375,-107.1875,1,1,0.6513724827222223,-0.758758122692791,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,0.7818314824680297,0.6234898018587336,9.75,1.5
2022-04-12 23:00:00,1,451,331.4,25998.125,26027.20833333333,-29.08333333333212,2,1,0.6513724827222223,-0.758758122692791,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,10.666666666666666,1.22
2022-04-13 03:00:00,2,453,331.4,27355.75,27252.979166666668,102.77083333333212,2,1,0.485301962531081,-0.8743466161445821,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.2225209339563143,8.5,1.22
2022-04-13 07:00:00,3,596,331.4,33141.625,33122.479166666664,19.14583333333576,2,1,0.485301962531081,-0.8743466161445821,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143,9.5,10.55
2022-04-13 11:00:00,4,618,331.4,32223.0,32220.0,3.0,2,1,0.485301962531081,-0.8743466161445821,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,9.666666666666666,5.1
2022-04-13 15:00:00,5,512,331.4,34373.125,34320.645833333336,52.47916666666424,2,1,0.485301962531081,-0.8743466161445821,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,0.9749279121818236,-0.2225209339563143,13.0,12.97
2022-04-13 19:00:00,6,503,331.4,31678.5,31823.9375,-145.4375,2,1,0.485301962531081,-0.8743466161445821,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.2225209339563143,10.0,4.78
2022-04-13 23:00:00,1,415,333.3,26017.125,26033.666666666668,-16.54166666666788,3,1,0.485301962531081,-0.8743466161445821,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,8.0,0.6
2022-04-14 03:00:00,2,457,333.3,28370.125,28290.45833333333,79.66666666666788,3,1,0.299363122973358,-0.9541392564000488,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,0.4338837391175582,-0.900968867902419,6.0,1.54
2022-04-14 07:00:00,3,279,333.3,31467.375,31480.89583333333,-13.52083333333212,3,1,0.299363122973358,-0.9541392564000488,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,9.0,0.5
2022-04-14 11:00:00,4,298,333.3,30468.5,30469.08333333333,-0.5833333333321207,3,1,0.299363122973358,-0.9541392564000488,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0.4338837391175582,-0.900968867902419,13.0,0.6
2022-04-14 15:00:00,5,304,333.3,31966.0,31918.58333333333,47.41666666666788,3,1,0.299363122973358,-0.9541392564000488,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,0.4338837391175582,-0.900968867902419,15.0,1.0
2022-04-14 19:00:00,6,502,333.3,30356.625,30430.291666666668,-73.66666666666788,3,1,0.299363122973358,-0.9541392564000488,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,0.4338837391175582,-0.900968867902419,11.0,8.55
